C1 +++$+++ [L1, L2, L3, L4]
C2 +++$+++ [L5, L6, L7, L8]
C3 +++$+++ [L9, L10, L11, L12]
C4 +++$+++ [L13, L14, L15, L16]
C5 +++$+++ [L17, L18, L19, L20]
C6 +++$+++ [L21, L22, L23, L24]
C7 +++$+++ [L25, L26, L27, L28]
C8 +++$+++ [L29, L30, L31, L32]
C9 +++$+++ [L33, L34, L35, L36]
C10 +++$+++ [L37, L38, L39, L40]
C11 +++$+++ [L41, L42, L43, L44]
C12 +++$+++ [L45, L46, L47, L48]
C13 +++$+++ [L49, L50, L51, L52]
C14 +++$+++ [L53, L54, L55, L56]
C15 +++$+++ [L57, L58, L59, L60]
C16 +++$+++ [L61, L62, L63, L64]
C17 +++$+++ [L65, L66, L67, L68]
C18 +++$+++ [L69, L70, L71, L72]
C19 +++$+++ [L73, L74, L75, L76]
C20 +++$+++ [L77, L78, L79, L80]
